name,price,code,actual_category
Motor de Popa Yamaha Mako 108HP,85789.05,67,PROPULSAO
Motor de Popa Honda Ion Vox Prime 163HP,66897.1,68,PROPULSAO
Motor de Popa Torqeedo Ultra Impulse 292HP,45265.02,69,PROPULSAO
Motor Diesel Parsun Boost Helix Velocity 146HP,34355.43,70,PROPULSAO
Motor Elétrico Torqeedo Pulse 300HP,130174.06,71,OUTROS
Motor de Popa Volvo Hydro Dash 256HP,99664.64,72,PROPULSAO
Motor de Popa Torqeedo Core Hydra Flux 162HP,143159.93,73,PROPULSAO
Motor de Popa Honda Torque 228HP,86558.56,74,PROPULSAO
Motor Diesel Volvo Flow Leviathan Maré 187HP,32768.38,75,PROPULSAO
Motor Diesel Honda Aero 205HP,148198.23,76,PROPULSAO
Motor Diesel Tohatsu Vector 197HP,44704.67,77,PROPULSAO
Motor Elétrico Honda Mako Axis 131HP,121761.56,78,PROPULSAO
Motor Diesel Tohatsu Zenith 60HP,66146.85,79,PROPULSAO
Motor de Popa Volvo Maré 69HP,129223.84,80,PROPULSAO
Motor Elétrico Torqeedo Barracuda Magnum Helix 101HP,122148.49,81,PROPULSAO
Motor Elétrico Volvo Nautic Vox 118HP,51634.04,82,OUTROS
Motor Diesel Yanmar Dash Nitro 184HP,134803.88,83,PROPULSAO
Motor de Popa Torqeedo Zenith Peak Thrust 212HP,43423.88,84,PROPULSAO
Motor de Popa Parsun Impulse 162HP,38578.7,85,OUTROS
Motor Diesel Volvo Helix Evo Force 144HP,93523.13,86,PROPULSAO
Motor Elétrico Volvo Boost 225HP,66859.9,87,PROPULSAO
Motor Diesel Tohatsu Kinetic Poseidon 113HP,48336.49,88,PROPULSAO
Motor Elétrico Yamaha Orca Storm Zenith 11HP,78678.05,89,PROPULSAO
Motor de Popa Yamaha Thrust Marlin Nexus 182HP,79097.33,90,PROPULSAO
Motor Elétrico Tohatsu Zenith Oceanic 113HP,134886.02,91,PROPULSAO
Motor Elétrico Yamaha Nautic Kraken 133HP,88854.1,92,PROPULSAO
Motor Elétrico Yamaha Flow 204HP,100477.01,93,PROPULSAO
Motor de Popa Volvo Magnum 276HP,40750.84,94,PROPULSAO
Motor Diesel Honda Leviathan 133HP,69808.04,95,OUTROS
Motor de Popa Tohatsu Boost Swift 126HP,70620.84,96,PROPULSAO
Motor de Popa Tohatsu Evo 168HP,135335.07,97,OUTROS
Motor Diesel Parsun Velocity Abyss Orca 235HP,79361.13,98,PROPULSAO
Motor Elétrico Honda Flux Ultra 273HP,107266.66,99,PROPULSAO
Motor Elétrico Honda Vector Abyss 220HP,104600.24,100,PROPULSAO
Cabo de Nylon Delta Vortex,463.4,101,ANCORAGEM
Cabo de Nylon Bruce Nexus,832.02,102,ANCORAGEM
Âncora Delta Swift,1789.19,103,ANCORAGEM
Cabo de Nylon Delta Zen Vortex Storm,3713.02,104,ANCORAGEM
Cabo de Nylon Danforth Prime,309.54,105,ANCORAGEM
Âncora Danforth Nitro Titan Vox,4384.87,106,ANCORAGEM
Boia de Arqueamento Bruce Tidal Marlin,1513.38,107,ANCORAGEM
Boia de Arqueamento Bruce Titan,3345.56,108,ANCORAGEM
Cabo de Nylon Danforth Evo Aqua Mako,622.7,109,OUTROS
Corrente Bruce Current,2495.51,110,ANCORAGEM
Boia de Arqueamento Danforth Aero Dash,4285.23,111,OUTROS
Corrente Danforth Tidal,2180.95,112,ANCORAGEM
Âncora Delta Mako Ultra,4394.96,113,ANCORAGEM
Boia de Arqueamento Danforth Tidal Zen Swift,799.29,114,ANCORAGEM
Cabo de Nylon Delta Force Magnum Leviathan,830.59,115,ANCORAGEM
Cabo de Nylon Delta Velocity Oceanic Abyss,2575.52,116,ANCORAGEM
Corrente Danforth Zen Abyss Axis,4103.01,117,ANCORAGEM
Boia de Arqueamento Delta Force Vox,4315.11,118,ANCORAGEM
Âncora Bruce Aqua,3255.82,119,ANCORAGEM
Boia de Arqueamento Danforth Flux Tidal,3124.49,120,ANCORAGEM
Boia de Arqueamento Delta Nexus,4349.86,145,ANCORAGEM
Âncora Danforth Oceanic Helix Flux,3694.27,121,ANCORAGEM
Corrente Danforth Zenith Oceanic Torque,1322.47,122,ANCORAGEM
Cabo de Nylon Danforth Orca Aero,2777.07,123,ANCORAGEM
Corrente Delta Axis,3769.93,124,ANCORAGEM
Cabo de Nylon Danforth Kinetic,3402.07,125,ANCORAGEM
Corrente Danforth Hydro,2677.06,126,ANCORAGEM
Cabo de Nylon Delta Velocity Core Mako,1549.35,127,ANCORAGEM
Cabo de Nylon Delta Velocity Core Mako,1549.35,127,ANCORAGEM
Boia de Arqueamento Bruce Marlin Hydra,4650.72,128,ANCORAGEM
Corrente Delta Boost,3266.21,129,OUTROS
Boia de Arqueamento Delta Zen Boost Vortex,4144.09,130,OUTROS
Boia de Arqueamento Danforth Core Vortex,963.59,131,ANCORAGEM
Corrente Bruce Nautic Evo,1562.97,132,ANCORAGEM
Âncora Bruce Core Pulse,1892.72,133,ANCORAGEM
Âncora Delta Storm Vox,4717.61,134,ANCORAGEM
Cabo de Nylon Danforth Titan Poseidon,1644.51,135,ANCORAGEM
Cabo de Nylon Bruce Flux Hydro,1973.5,136,ANCORAGEM
Âncora Danforth Impulse,3385.47,137,ANCORAGEM
Boia de Arqueamento Delta Peak Boost Thrust,4183.05,138,ANCORAGEM
Boia de Arqueamento Danforth Torque,1424.88,139,ANCORAGEM
Boia de Arqueamento Bruce Dash Titan Pulse,3134.58,140,ANCORAGEM
Boia de Arqueamento Bruce Nexus Abyss,4781.8,141,ANCORAGEM
Âncora Danforth Vector Evo,826.41,142,ANCORAGEM
Âncora Delta Hydra Kraken Velocity,4436.43,143,OUTROS
Boia de Arqueamento Bruce Barracuda,2214.14,144,ANCORAGEM
Boia de Arqueamento Delta Nexus,4349.86,145,ANCORAGEM
Boia de Arqueamento Delta Nexus,4349.86,145,ANCORAGEM
Corrente Delta Vox Ion,495.98,146,ANCORAGEM
Corrente Danforth Force Leviathan Impulse,3030.08,147,ANCORAGEM
Âncora Delta Force Barracuda Mako,4785.56,148,ANCORAGEM
Cabo de Nylon Bruce Core,1163.62,149,ANCORAGEM
Cabo de Nylon Danforth Magnum Vox,1645.66,150,ANCORAGEM
